ztfname,ra,dec
ZTF21abhkeak,0.0431652,38.4054719
ZTF19abjpeli,0.0469895,-22.1115849
ZTF22abfrbzi,0.1049425,34.1629826
ZTF23aapvrkk,0.1749375,-12.2367657
ZTF22abtekni,0.2149166,-2.3007813
ZTF22aazcdxy,0.247529,-16.9523422
ZTF22abibgsa,0.2547917,-11.1924233
ZTF22abhfwmr,0.3194629,36.9699593
ZTF19acklbjr,0.3401021,34.60774255
ZTF22abvnonf,0.4392156,8.4435038
ZTF20abowpvf,0.5267728,-5.2806706
ZTF21acdjasw,0.5349213,78.0168136
ZTF20acobevy,0.5629978,-23.4950168
ZTF20aciywlz,0.5898928,-15.3323254
ZTF20abgbxfm,0.6499677,23.151754
ZTF20abyxnjo,0.6904516,45.1148048
ZTF18actxcuh,0.7328382,-26.9145002
ZTF20acwgnxk,0.7579875,53.8913579
ZTF20acrxrfv,0.8141122,30.6754101
ZTF21abiuvdk,0.814295,16.1457055
ZTF20achstwk,0.818983,2.2521211
ZTF22aarhrqh,0.8323672,34.549343
ZTF23aamsbpu,0.8398697,53.7080088
ZTF20abupbub,1.026938,51.6639934
ZTF20abwdwoa,1.1260398,17.5429523
ZTF18abtqevs,1.151269,51.9937851
ZTF22abnbzjw,1.1623454,-8.0999346
ZTF22abfynfa,1.1673414,-16.4385639
ZTF20abvqilf,1.2111141,-18.7570207
ZTF20achkgng,1.2407995,15.177937
ZTF20acajvrj,1.2716648,12.7680232
ZTF20abmcwll,1.3548545,-18.0726679
ZTF20abfcshg,1.3645208,32.5350501
ZTF20aafdeza,1.3811223,25.9477004
ZTF20abfcsnk,1.4440064,33.7613515
ZTF21acptlvu,1.5410009,11.6257793
ZTF19abqqrib,1.5806004,-8.251804
ZTF20aahirkk,1.6380071,3.2687189
ZTF20abzjvse,1.7337998,45.091628
ZTF18ablvime,1.7552447999999998,33.1828848
ZTF19acwiqrc,1.7756543,31.0536684
ZTF20acoqlav,1.7901152,39.1709454
ZTF19abkdeae,1.817749,19.2601899
ZTF19abozuxh,1.8181179,32.1892724
ZTF22abgepyb,1.8230992,48.808423
ZTF21abqpwpu,1.8247211,0.8382764
ZTF22abeskuc,1.9160631,12.263064
ZTF23aabfwzg,1.9603227,19.0976655
ZTF21abicabp,2.0572803,32.091473
ZTF19achvpik,2.0798872,-18.2950337
ZTF20acpklpq,2.0807717,45.3925649
ZTF21abbxtwv,2.149725,44.0971675
ZTF18acchvwh,2.1982277,-3.3656071
ZTF19adbmewx,2.2152487,22.6340407
ZTF19aaynskj,2.2584269,1.3686734
ZTF20acpksoc,2.2755143,3.370269
ZTF21abtuutw,2.3025109,-5.9387884
ZTF21abihsrg,2.481896,19.9760842
ZTF21aceytia,2.4836792,-22.312359
ZTF21abmdnft,2.5750884,1.4160224
ZTF21acfdigc,2.588676,19.801557
ZTF22abdlohy,2.6246864,42.6029219
ZTF22aaoolrn,2.6556599,28.8911883
ZTF22aawzdti,2.6624955,37.3963877
ZTF20abpvhij,2.7617637,-25.4415197
ZTF19abgqvyr,2.787066,5.0618015
ZTF22aaptyed,2.7928654,2.3731547
ZTF20achawym,2.8094886,-6.4593952
ZTF19abnhegb,2.9216915,-9.6715088
ZTF23aaorbwk,2.9298601,20.975773
ZTF21abxmvby,2.9982225,4.6802475
ZTF18absoomk,3.4252036,27.5676821
ZTF19abtqqaz,3.4258082,15.55161345
ZTF20achaybx,3.4917914,-5.466262
ZTF19abmpoxa,3.5183722,-24.0711956
ZTF19abjpelp,3.5906144,-21.1552424
ZTF22aajzkwn,3.6166111,30.3179306
ZTF18abmnwjo,3.686741,17.8681799
ZTF19acbykmk,3.735268,-23.4815854
ZTF18abmwnov,3.7576751,34.8114227
ZTF20aboquuv,3.7733815,43.3432921
ZTF19accavuw,3.7759394,14.2392537
ZTF19ablekwo,3.8390117,46.735732
ZTF20aazomcu,3.8744444,17.324251
ZTF21aadtkki,3.8796487,46.9644664
ZTF21ackonrq,3.9248707,12.8116244
ZTF19abyigib,3.9581723,-23.9578031
ZTF22abseymh,4.0161092,46.1210099
ZTF22absphlp,4.1748276,12.6169475
ZTF21abgywtg,4.2329549,-1.7126561
ZTF22abnwpmq,4.2408707,22.5246691
ZTF21abgyxyn,4.281717,21.9849465
ZTF18acquwxi,4.3681183,24.2624242
ZTF22abcckha,4.3973945,-11.2862442
ZTF23aamsekn,4.4842401,23.9842307
ZTF19abjamgc,4.6665527,-15.8019271
ZTF20achrgub,4.67808,-26.2387338
ZTF23aamsfav,4.7468636,36.6456501
ZTF19abxmvcq,4.7723318,-16.683112
ZTF19abrdliq,4.7869988,4.9819516
ZTF22abavsqq,4.7945491,29.3322993
ZTF21aciuvmg,4.8397697,15.282964
ZTF22abdstgi,4.8940327,-17.5794803
ZTF19abzsitm,4.9712098,-23.3977747
ZTF18accjdgs,4.9764466,15.9611495
ZTF20acxncha,4.9794903,23.9525132
ZTF19aculczm,5.0762271,-5.3069057
ZTF21aciuhyy,5.1110189,29.4492963
ZTF19abqviuy,5.1442122,5.7550599
ZTF20abxidyb,5.1693196,28.8227137
ZTF22aazeagq,5.1857007,28.4209691
ZTF21ablducj,5.2263081,36.7862797
ZTF20abmdfcy,5.3248779,21.0710998
ZTF20abvqibv,5.3827358,-20.4397043
ZTF21aabhtlj,5.3948404,38.0936788
ZTF20acgmqgv,5.4051895,-19.5080283
ZTF22abfypms,5.4943348,-10.5142127
ZTF18acrfklz,5.6059228,-12.9415077
ZTF19acgldqr,5.6175404,-4.8363617
ZTF21acbvqut,5.6179197,16.7363148
ZTF20abnwldu,5.6268306500000005,26.7023557
ZTF22abylrge,5.6319951,7.9307348
ZTF21abjaksr,5.7009869,33.5122856
ZTF22abbirsn,5.7683929,21.2340697
ZTF22aazjgoi,5.7713103,29.2740517
ZTF21acekwrh,5.7915764,7.9321119
ZTF19abjarhj,5.8005204,25.3054516
ZTF21abqueax,5.8084417,16.1761093
ZTF23aajpuzw,5.8197796,24.9521745
ZTF22abtvgfs,6.018266,31.1608723
ZTF19abdkcib,6.0616042,-9.2682837
ZTF19acynije,6.0941632,38.197464
ZTF19acbsuhn,6.124931,7.7162626
ZTF20acwgayz,6.1801871,-23.352802
ZTF20aaerzvi,6.2748066,-3.5445033
ZTF21achdsoo,6.3240521,-4.1571044
ZTF19achetvw,6.4252502,8.6356277
ZTF19abpzuzd,6.4362269,20.2777488
ZTF18abtgtpn,6.4659716,-20.6806363
ZTF20acjutba,6.4772259,4.7975563
ZTF21abpryuv,6.4895691,-17.9170581
ZTF19abimzvh,6.5000633,51.3813472
ZTF19acigqdd,6.5524537,29.6294597
ZTF19abhibzk,6.615448,38.1232971
ZTF22abzbyyw,6.7848779,-24.8974614
ZTF22abyrovo,6.7920875,51.0660502
ZTF18acynoro,6.8268313,3.6122455
ZTF20acrdemq,6.8349072,39.4978152
ZTF20abiscvb,6.8698687,3.3501177
ZTF18abqapch,7.04336365,37.2603321
ZTF19acbswdq,7.0859056,-0.8584233
ZTF20abqetet,7.1178554,48.8587525
ZTF22abscvex,7.1510397,-20.5354045
ZTF19abheamc,7.2154403,-1.0735215
ZTF18acbxsap,7.237562,-3.6432202
ZTF22abaxqlk,7.2405836,12.3164775
ZTF21acgyciq,7.287484,4.7211563
ZTF18acynmcp,7.2884725,-0.1054089
ZTF21acephge,7.3286105,27.7889895
ZTF19abgjlef,7.4487266,17.5574821
ZTF18acmxmlq,7.4826407,10.6985942
ZTF21abzbuvf,7.5076461,-3.0313618
ZTF21acimecy,7.5316,16.1628993
ZTF22aboeaau,7.5378228,28.0711085
ZTF18abtfrbf,7.6026572,-1.2641405
ZTF20abyjoxb,7.6325918,33.2077187
ZTF21ackzyzj,7.6831565,40.3249609
ZTF23aapgxic,7.7485,5.1572562
ZTF22abnxovx,7.7945363,-7.4526192
ZTF21aabhfta,7.8257209,-25.6587998
ZTF20abmcwtd,7.8571516,-12.4567715
ZTF21abiacmi,7.8723583,17.3833748
ZTF18acbxrdw,7.8756717,-19.6233386
ZTF18abnzlnk,7.9099374,28.9695504
