ztfname host_ra host_dec sn_ra sn_dec
ZTF17aadlxmv 127.44818 33.90648 127.44802 33.90654
ZTF18aaadqua 26.79761 18.79896 26.79870 18.79860
ZTF18aaanzph 157.74695 23.78855 157.74346 23.78836
ZTF18aaaoaeq 155.54109 10.44063 155.54070 10.44002
ZTF18aaaqexr 175.77656 15.56696 175.77652 15.56713
ZTF18aaasvcd 142.23078 49.23852 142.22965 49.23813
ZTF18aabasml 166.48644 37.62535 166.48644 37.62509
ZTF18aabdgik 175.59888 10.26414 175.59889 10.26419
ZTF18aabqgnb 178.18924 37.85462 178.18949 37.85430
ZTF18aabssme 155.71204 14.05459 155.71151 14.05482
ZTF18aabstmw 153.45180 38.76126 153.45113 38.76312
ZTF18aabsyqp 162.81938 22.47689 162.81849 22.47757
ZTF18aabtaor 172.09772 44.74915 172.09534 44.74899
ZTF18aabtiph 183.84640 27.62621 183.84631 27.62649
ZTF18aabtwqb 112.58675 18.19053 112.58596 18.19068
ZTF18aabukgo 154.92657 43.36631 154.92664 43.36631
ZTF18aabvpeg 122.14989 20.06307 122.14992 20.06315
ZTF18aabxrjp 185.54347 26.99453 185.54328 26.99451
ZTF18aabyhlc 226.84713 38.41676 226.84515 38.41655
ZTF18aaccuih 222.22449 38.76829 222.22312 38.76755
ZTF18aadlaxo 120.64903 50.92244 120.64896 50.92248
ZTF18aadzfso 106.82370 43.31640 106.82364 43.31643
ZTF18aaemivw 158.42800 39.49076 158.42771 39.49084
ZTF18aaermez 153.17884 39.37395 153.17850 39.37375
ZTF18aafzers 123.02387 29.40435 123.02396 29.40417
ZTF18aagrcfl 236.09608 39.55893 236.09589 39.55811
ZTF18aagrcir 215.69193 49.31118 215.69221 49.31229
ZTF18aagrebu 250.91737 26.59666 250.91586 26.59624
ZTF18aagrgao 251.85711 25.68480 251.85643 25.68513
ZTF18aagrtxs 198.60868 50.97918 198.60608 50.97771
ZTF18aagstdc 237.51484 42.08844 237.51482 42.08848
ZTF18aagtcxj 248.04738 42.71387 248.04814 42.71341
ZTF18aagtwyh 189.92465 16.53796 189.92463 16.53791
ZTF18aaguhgb 219.45426 45.54840 219.45412 45.54928
ZTF18aahatvc 230.51904 30.04882 230.51909 30.04873
ZTF18aahesrp 128.93895 28.27047 128.93929 28.27025
ZTF18aahfbqp 156.67860 21.72401 156.67866 21.72413
ZTF18aahfeiy 154.31158 43.52190 154.31483 43.52347
ZTF18aahfgsk 181.24581 32.39119 181.24296 32.39138
ZTF18aahfgyz 175.28216 24.82180 175.28327 24.81957
ZTF18aahfxnn 176.54862 9.35476 176.54987 9.35502
ZTF18aahfzea 181.36100 20.30308 181.36109 20.29910
ZTF18aahheaj 195.11180 18.61974 195.11053 18.61938
ZTF18aahhenr 207.36147 26.46186 207.36316 26.46209
ZTF18aahjafd 198.27440 23.45931 198.27444 23.45935
ZTF18aahjaxz 193.45251 29.58837 193.45595 29.59074
ZTF18aahpaoa 144.45554 12.46400 144.45553 12.46405
ZTF18aahptcq 162.31809 26.37011 162.31810 26.37309
ZTF18aahpzhc 153.23193 46.41770 153.23459 46.41812
ZTF18aahqavd 159.51596 45.25713 159.51665 45.25662
ZTF18aahqmsr 159.64996 35.97127 159.64964 35.97120
ZTF18aahrdpu 127.80794 28.28027 127.80800 28.28024
ZTF18aahshhp 190.20566 25.75038 190.20547 25.75045
ZTF18aahsmrw 181.95234 22.59714 181.95224 22.59720
ZTF18aahtjsc 169.20500 46.91068 169.20515 46.91099
ZTF18aahvndq 198.72266 27.00807 198.72270 27.00841
ZTF18aaiajvb 246.05592 25.27187 246.05582 25.27206
ZTF18aaialps 254.74980 34.58045 254.74988 34.58054
ZTF18aaibibr 261.64070 34.37393 261.64161 34.37358
ZTF18aaifxvz 170.55531 24.31716 170.55527 24.31732
ZTF18aaigbvt 174.11563 17.92140 174.11566 17.92141
ZTF18aaiiigm 215.47907 44.36583 215.47906 44.36564
ZTF18aailmnv 214.20220 58.48596 214.20207 58.48542
ZTF18aailvrv 219.89040 29.71374 219.88869 29.71136
ZTF18aaimxdx 266.03555 39.35675 266.03690 39.35536
ZTF18aairuad 177.93729 57.79985 177.93974 57.79951
ZTF18aaisqmw 176.35708 55.52723 176.35759 55.52700
ZTF18aaitbcm 200.67082 54.35235 200.67067 54.35233
ZTF18aaitowa 241.14144 71.47377 241.14953 71.47552
ZTF18aaiwkwk 239.19309 35.02507 239.19293 35.02470
ZTF18aaixjrc 213.37921 43.62171 213.37929 43.62172
ZTF18aaiykoz 239.49774 40.03400 239.49784 40.03390
ZTF18aaizerg 219.69792 50.10300 219.69821 50.10278
ZTF18aajivpr 179.19664 52.48436 179.19546 52.48388
ZTF18aajnrgu 196.86931 21.46733 196.86947 21.46974
ZTF18aajnyyp 219.37413 43.67405 219.37414 43.67411
ZTF18aajpjdi 199.52763 27.87314 199.52764 27.87340
ZTF18aajsbbq 258.76365 34.82803 258.76363 34.82805
ZTF18aajtlbf 261.96884 60.09727 261.96767 60.09540
ZTF18aajwdwz 124.91482 27.53111 124.91780 27.53046
ZTF18aakaljn 145.29338 24.02284 145.29424 24.02243
ZTF18aakcsqt 184.51063 19.62066 184.51059 19.62082
ZTF18aakdyym 210.01706 61.08572 210.01589 61.08565
ZTF18aakecej 203.76811 53.87338 203.77331 53.87516
ZTF18aakepih 185.57908 9.03141 185.57825 9.03134
ZTF18aakiwbs 229.40260 57.18510 229.40255 57.18510
ZTF18aaklpdo 177.45088 25.65042 177.45074 25.65059
ZTF18aakoylt 179.54784 49.32080 179.54976 49.32050
ZTF18aakzliv 260.48397 29.30574 260.47944 29.30933
ZTF18aalcxig 269.96023 40.82662 269.95941 40.82619
ZTF18aamigmk 269.41898 50.03363 269.41771 50.03866
ZTF18aamlqqh 266.98603 34.93270 266.98608 34.93264
ZTF18aamsgjq 196.44595 59.84334 196.44601 59.84320
ZTF18aamxads 214.37228 63.28611 214.37180 63.28625
ZTF18aangpkx 255.33879 32.78560 255.33906 32.78582
ZTF18aansqom 251.04502 39.78877 251.04522 39.78866
ZTF18aansqov 251.15519 40.14718 251.15540 40.14737
ZTF18aansqun 251.29214 42.71769 251.29206 42.71782
ZTF18aanygjk 273.06361 56.62002 273.06395 56.61978
ZTF18aaobdza 172.64725 46.49644 172.64777 46.49719
ZTF18aaobguk 178.05057 51.36005 178.04932 51.36001
ZTF18aaobjwr 174.14520 34.58944 174.14622 34.58946
ZTF18aaocqhe 199.85800 66.39207 199.85807 66.39186
ZTF18aaocrmb 179.52511 58.98605 179.52505 58.98601
ZTF18aaodnxt 202.01653 34.33271 202.01724 34.32877
ZTF18aaohzei 273.90722 38.06913 273.90725 38.06918
ZTF18aaommeg 254.71476 30.18520 254.71488 30.18494
ZTF18aaotzhu 223.21033 18.07564 223.20630 18.08023
ZTF18aaoufjt 215.32245 35.50938 215.32179 35.50884
ZTF18aaovbiy 231.65982 28.86634 231.65953 28.86620
ZTF18aaoxrup 240.21620 56.35297 240.21616 56.35286
ZTF18aaphzut 187.32313 6.34104 187.32330 6.34115
ZTF18aapictz 179.90451 27.53077 179.90419 27.53053
ZTF18aapqwyv 251.60542 25.42148 251.60542 25.42149
ZTF18aapsedq 215.39738 49.54604 215.39601 49.54721
ZTF18aapuntm 250.70997 43.66262 250.70999 43.66262
ZTF18aaqceqh 159.86755 58.79164 159.86769 58.79155
ZTF18aaqcozd 190.55877 42.26842 190.56299 42.27173
ZTF18aaqcqkv 196.51037 48.27740 196.51026 48.27735
ZTF18aaqcqve 198.09799 47.45076 198.09798 47.45073
ZTF18aaqcqvr 193.85283 45.57879 193.85276 45.57847
ZTF18aaqcugm 202.05341 53.91171 202.05300 53.91605
ZTF18aaqculk 223.08569 30.90600 223.08529 30.90580
ZTF18aaqeasu 185.84674 46.60298 185.83994 46.60228
ZTF18aaqedfj 206.35528 26.42450 206.35505 26.42425
ZTF18aaqehoc 228.18562 40.10988 228.18560 40.10991
ZTF18aaqeygf 200.34971 68.82713 200.35003 68.82639
ZTF18aaqffyp 231.94644 34.94865 231.94501 34.94822
ZTF18aaqfziz 224.76724 19.58730 224.76911 19.58729
ZTF18aaqgadq 222.28694 16.45765 222.28611 16.45770
ZTF18aaqgbju 236.56648 29.09422 236.56663 29.09463
ZTF18aaqjhqz 129.92747 41.01653 129.92763 41.01535
ZTF18aaqjvjr 189.62150 39.00311 189.62172 39.00306
ZTF18aaqjxid 200.84079 45.64507 200.84164 45.64425
ZTF18aaqkcso 204.05419 38.35498 204.05435 38.35502
ZTF18aaqkjuw 174.79361 56.13628 174.79363 56.13634
ZTF18aaqkqxi 167.96904 39.60504 167.96910 39.60510
ZTF18aaqnrum 248.56630 26.88957 248.56571 26.88964
ZTF18aaqpjja 122.47373 35.07659 122.47349 35.07737
ZTF18aaqpkvx 118.76339 14.35769 118.76332 14.35751
ZTF18aaqpsvo 199.62734 32.00241 199.62717 32.00206
ZTF18aaqqhis 155.76004 45.70250 155.75997 45.70248
ZTF18aaqqoqs 207.96962 47.25761 207.97031 47.25697
ZTF18aaqskoy 255.90464 36.42849 255.90777 36.42919
ZTF18aaqvuhl 239.29839 34.52536 239.29849 34.52542
ZTF18aarbaba 270.75528 20.63128 270.75543 20.63102
ZTF18aarbgdn 155.67137 15.93940 155.67115 15.93910
ZTF18aarbgpc 152.46047 22.61405 152.46198 22.61318
ZTF18aarbify 155.08781 29.41265 155.08781 29.41260
ZTF18aarcygc 151.48338 34.49804 151.48274 34.49780
ZTF18aarcypa 167.45958 28.97133 167.45933 28.97141
ZTF18aarikzk 226.26486 28.81546 226.26496 28.81543
ZTF18aaripcr 222.40565 25.37283 222.40946 25.37014
ZTF18aarktll 165.62039 34.30268 165.61923 34.30241
ZTF18aarldnh 195.65601 55.92420 195.65542 55.92570
ZTF18aarlukc 172.86860 62.16984 172.86865 62.16980
ZTF18aarohda 195.64048 36.38702 195.64040 36.38751
ZTF18aaroihe 173.26154 62.74653 173.26049 62.74398
ZTF18aarqnje 251.35186 35.95577 251.35334 35.95602
ZTF18aartjmf 231.74485 8.26203 231.74493 8.26143
ZTF18aarunub 234.55352 39.73340 234.55379 39.73273
ZTF18aarwxum 267.37123 58.56946 267.37147 58.56941
ZTF18aarxzmv 190.40318 35.57421 190.39976 35.57694
ZTF18aarymnz 109.48783 40.98307 109.48304 40.98554
ZTF18aasdted 261.41003 59.44672 261.41320 59.44679
ZTF18aasesgl 208.61268 39.72257 208.61264 39.72276
ZTF18aaslhxt 276.10566 44.13054 276.10792 44.13044
ZTF18aasprui 243.64022 36.94378 243.64079 36.94346
ZTF18aasrssa 163.16940 19.94482 163.16634 19.94583
ZTF18aataafd 214.83669 36.17227 214.83725 36.17205
ZTF18aatezaj 226.54237 53.41078 226.54222 53.41063
ZTF18aatgdph 216.27935 50.53177 216.27945 50.53137
ZTF18aatjfoe 221.21263 43.31715 221.21285 43.31680
ZTF18aatrkga 273.00595 51.72480 273.00446 51.72458
ZTF18aatrllk 288.22408 50.40157 288.22431 50.40118
ZTF18aatzygk 251.38425 59.91858 251.38416 59.91864
ZTF18aaudfnk 239.13184 44.60182 239.13212 44.60201
ZTF18aauhxce 177.56784 51.45025 177.56872 51.45341
ZTF18aauizcr 173.61870 46.36058 173.61612 46.36262
ZTF18aaumeys 214.31550 59.27767 214.31288 59.27638
ZTF18aaumlfl 244.26953 50.79014 244.27071 50.79246
ZTF18aaunfqq 238.57956 39.45388 238.57998 39.45396
ZTF18aauocnw 271.16428 41.55006 271.16514 41.54948
ZTF18aaupmks 291.91152 61.94726 291.91156 61.94722
ZTF18aauqdyb 278.56058 32.91950 278.56089 32.91933
ZTF18aauvnhh 213.34352 22.57813 213.34377 22.57837
ZTF18aauworo 239.66965 21.11749 239.67106 21.12044
ZTF18aauxltf 224.36741 5.84392 224.36923 5.84229
ZTF18aavjnfx 248.92906 4.82587 248.92821 4.82595
ZTF18aavniyw 172.87615 51.62897 172.87517 51.62938
ZTF18aavnvmp 204.69693 30.95959 204.69696 30.95962
ZTF18aavnxar 194.34434 26.81482 194.34422 26.81480
ZTF18aavrmlf 170.21936 53.82331 170.21954 53.82318
ZTF18aavrwhu 206.73433 43.13752 206.73522 43.13728
ZTF18aavrzxp 215.44641 48.16622 215.44944 48.16659
ZTF18aavsilo 216.38755 15.95843 216.38769 15.95848
ZTF18aavvnzu 270.22986 52.73979 270.23016 52.73960
ZTF18aawcwsx 160.13919 47.04021 160.13928 47.04016
ZTF18aawczad 194.57012 27.72970 194.56944 27.72929
ZTF18aawdpnm 213.82890 16.88797 213.82973 16.89217
ZTF18aawhyvl 251.99011 35.92484 251.99008 35.92485
ZTF18aawjywv 268.75063 42.89908 268.75028 42.89832
ZTF18aawmvbj 153.17235 21.41553 153.17162 21.41543
ZTF18aawmxdx 147.24343 13.98446 147.24317 13.98437
ZTF18aawnbgg 160.22445 23.74546 160.22522 23.74536
ZTF18aawozzj 187.78808 57.58387 187.78757 57.58380
ZTF18aawpcel 195.31873 59.80997 195.32099 59.80999
ZTF18aawtveo 253.35434 64.12430 253.35435 64.12431
